NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Sangam Processors (Bhilwara) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sandur Manganese and Iron Ores Ltd.,Iron & Steel,"2,913.00","Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,2802.00,2924.95,10.00,2969.80
Sandvik Asia Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sangam Aluminium Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sanderson Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sandur Laminates Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sandu Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,71.00,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,RSI indicating price strength ,No Threat for this stock,70.60,71.45,49.00,82.60
Sandur Manganese and Iron Ores RE Ltd.,Metals & Mining,733.85,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,701.65,749.00,10.00,999.00
Sandeep Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sancode Technologies Ltd.,Software,74.01,Company with Low Debt,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,74.01,74.01,47.00,118.51
Sandhar Technologies Ltd.,"Auto Ancillaries - Auto, Truck & Motorcycle Parts",472.70,Company with high TTM EPS Growth,MFs decreased their shareholding last quarter,Highest Recovery from 52 Week Low ,No Threat for this stock,465.95,479.90,194.50,532.00
Sangal Papers Ltd.,Paper & Forest Products,184.45,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,170.50,184.70,124.00,214.00
Sancia Global Infraprojects Ltd.,Miscellaneous,0.30,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.29,0.30,0.29,1.00
Sandesh Ltd.,Printing & Publishing,"1,310.85","Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,1285.00,1321.90,782.20,1437.00
Sanathnagar Enterprises Ltd.,Chemicals,28.15,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,28.15,28.15,14.94,28.15
Sand Plast (India) Ltd.,Cement - Products & Building Materials,1.87,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.87,1.87,1.10,3.20
Sanblue Corporation Ltd.,Finance - NBFC,39.91,"Strong Momentum: Price above short, medium and long term moving averages","Rising other income, and low operating income",Turnaround companies- loss to profit QoQ ,No Threat for this stock,38.05,39.99,9.00,45.85
Samtel Colour Ltd.,Electronics - Components,0.30,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.30,0.30,0.29,2.20
Sanchna Trading & Finance Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
SAN Engineering Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samtex Fashions Ltd.,Textiles & Apparel,2.85,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,2.78,2.92,1.80,3.29
Samrat Pharmachem Ltd.,Pharmaceuticals & Drugs,370.25,Company with Low Debt,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,Red Flag: Large Swings Between Profit and Loss,365.15,377.25,332.00,734.65
Samruddhi Realty Ltd.,Construction - Residential & Commercial Complexes,4.80,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,4.80,4.80,4.39,15.85
SAMSRITA LABS Ltd.,Trading,17.33,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,16.81,17.71,14.80,29.90
Samruddhi Cement Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samtel Electronic Devices Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samrat Forgings Ltd.,Miscellaneous,361.20,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,361.10,380.00,140.05,575.00
Samrat Spinners Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samor Reality RE Ltd.,Miscellaneous,13.10,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,13.10,15.70,10.00,31.95
Sanco Trans Ltd.,Logistics,635.00,Growth in Net Profit with increasing Profit Margin (QoQ),MACD Crossover Below Signal Line,Turnaround companies- loss to profit QoQ ,No Threat for this stock,630.00,662.00,595.00,910.00
Samor Reality RE1 Ltd.,Miscellaneous,28.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,28.00,28.00,10.00,30.00
Samrat Ashoka Exports. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sampann Utpadan India Ltd.,Power Generation/Distribution,24.17,"Growth stocks, promoters increasing shareholding",Companies with High Debt,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,23.50,24.60,12.00,30.00
Sampre Nutritions Ltd.,Consumer Food,89.41,"Strong Momentum: Price above short, medium and long term moving averages",Declining Revenue every quarter for the past 2 quarters,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,89.41,89.41,46.55,159.90
Samor Reality Ltd.,Construction - Residential & Commercial Complexes,118.60,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,118.60,130.99,21.64,138.57
Sambhaav Media Ltd.,Printing & Publishing,4.50,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,4.30,4.60,2.25,4.95
Sampada Chemicals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samhi Hotels Ltd.,"Hotel, Resort & Restaurants",186.10,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,No Opportunity for this stock,No Threat for this stock,181.25,186.00,127.25,197.70
Samkrg Pistons and Rings Ltd.,Auto Ancillaries - Pistons,173.85,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,169.70,174.95,112.50,179.85
Sambandam Spinning Mills Ltd.,Textiles & Apparel,180.00,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,177.95,180.00,125.30,207.85
Sam-Tul Investments Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samarth Int Finlease Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Samana Steels Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sam Leaseco Ltd.,Finance - General,12.85,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,12.85,12.85,12.85,50.00
Salzer Electronics Ltd.,Cables,442.20,"Strong Momentum: Price above short, medium and long term moving averages",Promoters increased pledged shares QoQ,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,440.90,453.00,236.00,467.95
Samtel (India) Ltd.,Electronics - Components,1.89,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.89,1.89,1.50,2.93
Salzer Textiles Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Salzer Controls Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Salstar Foods & Beverages Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sam Industries Ltd.,"Real Estate Rental, Development & Operations",84.65,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,83.61,87.60,40.00,90.12
Salasar Techno Engineering Ltd.,Engineering - Industrial Equipments,92.43,"Strong Momentum: Price above short, medium and long term moving averages",Promoters increased pledged shares QoQ,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,82.75,92.60,36.25,92.60
Sakura Seimitsu India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Salem Erode Investments Ltd.,Finance - Investment,47.18,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Decrease in Provision in recent results ,No Threat for this stock,44.21,47.70,1.98,122.45
Salasar Exteriors & Contour Ltd.,Engineering - Construction,,No Strength for this stock,Promoters increased pledged shares QoQ,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,26.20,26.45,18.65,35.30
Saket Extrusion Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sakthi Sugars Ltd.,Sugar,27.97,Strong Annual EPS Growth,Promoters increased pledged shares QoQ,Stock with Low PE (PE < = 10) ,No Threat for this stock,27.90,28.50,18.25,36.50
Sai Television Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sakthi Finance Ltd.,Finance - NBFC,67.50,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,60.30,72.09,25.22,72.09
Sakar Healthcare Ltd.,Pharmaceuticals & Drugs,,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,424.45,443.00,191.30,450.00
Sal Automotive Ltd.,Auto Ancillaries,569.15,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,540.20,583.00,223.60,661.90
Saksoft Ltd.,Software,323.90,Company with high TTM EPS Growth,No weakness for this stock,Highest Recovery from 52 Week Low ,No Threat for this stock,322.00,335.80,131.50,402.20
Sajjan Textiles Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sameera Agro And Infra Ltd.,Misc. Commercial Services,,Strong Annual EPS Growth,Weak performer : Stock lost more than 20% in 1 month,No Opportunity for this stock,No Threat for this stock,119.00,125.40,112.10,180.00
Onida Saka Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Salem Textiles Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
SAL Steel Ltd.,Iron & Steel,25.10,"Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,RSI indicating price strength ,No Threat for this stock,24.30,25.75,13.15,27.45
Sai Silks Kalamandir Ltd.,Miscellaneous,244.15,Growth in Net Profit with increasing Profit Margin (QoQ),Low Piotroski Score : Companies with weak financials,Street Favorite: High Analyst Rating with at least 20% upside ,No Threat for this stock,244.20,251.00,221.85,312.00
Sai Rayalseema Paper Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Steel Authority of India Ltd.,Iron & Steel,115.45,Growth in Net Profit with increasing Profit Margin (QoQ),Low Piotroski Score : Companies with weak financials,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,113.65,116.00,77.60,126.90
Sainik Finance & Industries Ltd.,Cement,42.88,High Revenue and Profit Growth with High Return on Capital Deployed (ROCE) and Low PE ratio,Red Flag: High Interest Payments Compared to Earnings,Profit making Companies with High ROCE and Low PE ,No Threat for this stock,42.88,45.13,20.60,59.00
Saint-Gobain Sekurit Ltd.,Glass & Glass Products,144.05,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,141.00,146.00,77.00,156.00
Sai Service Stations. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sai Jeevadhara Finance Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sailani Tours N Travels Ltd.,Leisure Services,43.89,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,No Threat for this stock,43.89,46.10,16.46,53.73
Sahara One Media and Entertainment Ltd.,"Film Production, Distribution & Entertainment",15.65,Growth in Quarterly Net Profit with increasing Profit Margin (YoY),New 52 week Low,Stock with Low PE (PE < = 10) ,No Threat for this stock,15.65,15.65,15.65,40.80
Sai Industries Ltd.,Finance - Investments,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,50.00,50.00
Sahaj Fashions Ltd.,Miscellaneous,10.00,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Red Flag: High Interest Payments Compared to Earnings,RSI indicating price strength ,No Threat for this stock,29.00,29.00,19.00,31.90
Sahas Agro Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sahas Cements Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sahyadri Industries Ltd.,Cement,398.50,Company with Low Debt,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,381.90,401.45,10.00,484.10
Saha Keil Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Saheli Leasing and Industries Ltd.,Finance - Investment,7.65,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,7.65,7.65,3.33,11.00
Sahana Systems Ltd.,IT Services & Consulting,,Strong Annual EPS Growth,No weakness for this stock,Highest Recovery from 52 Week Low ,No Threat for this stock,994.00,1090.40,136.05,1097.00
Sahara Maritime Ltd.,Misc. Commercial Services,70.15,Company with Low Debt,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,70.15,70.15,66.00,85.05
Sahara Housingfina Corporation Ltd.,Finance - Housing,53.19,Company reducing Debt,Negative Breakdown Third Support (LTP < S3),Decrease in Provision in recent results ,No Threat for this stock,53.19,53.19,40.06,126.05
Saianand Commercial Ltd.,Trading,0.68,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit with falling Profit Margin (YoY),Stock with Low PE (PE < = 10) ,No Threat for this stock,0.63,0.68,0.39,0.80
Sagar Tourist Resorts Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sah Polymers Ltd.,Plastic Products,120.00,Company with Low Debt,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,115.55,120.55,67.25,134.30
Sagarsoft India Ltd.,IT Services & Consulting,196.90,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,185.05,200.00,23.10,200.00
Sagar Systech Ltd.,Finance - Leasing & Hire Purchase,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,0.00
Sagar Soya Products Ltd.,Vegetable Oils & Products,1.35,New 52 week high today,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,1.35,1.35,0.61,1.35
Sagardeep Alloys Ltd.,Metals - Non Ferrous,,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Negative Breakdown Second Support (LTP < S2),No Opportunity for this stock,No Threat for this stock,30.15,32.50,17.85,40.45
Saboo Sodium Chloro RE Ltd.,Chemicals,1.35,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.30,1.75,1.20,10.00
Sagar Investments Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sagar Silk Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sacheta Metals Ltd.,Aluminium & Aluminium Products,25.40,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,25.00,25.88,16.40,26.77
Sagar Cements Ltd.,Cement,278.00,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,275.90,281.45,180.00,305.00
Sagar Productions Ltd.,Finance - Investment,6.17,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,6.17,6.18,1.83,6.18
Sabrimala Industries Ltd.,Diversified,5.38,Company with high TTM EPS Growth,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,5.38,5.38,2.49,9.35
Saboo Brothers Ltd.,Engineering - Industrial Equipments,0.00,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,0.00,0.00,11.30,63.42
Saboo Sodium Chloro Ltd.,Consumer Food,22.84,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,22.60,24.02,13.65,25.30
Sadbhav Engineering Ltd.,Construction - Infrastructure,22.08,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,21.85,21.85,8.50,24.10
Sachs India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Saakshi Medtech & Panels Ltd.,Diversified,10.00,Strong Annual EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,RSI indicating price strength ,No Threat for this stock,240.20,244.00,97.00,293.50
Saatal Kaatha & Chemicals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
SAB Events & Governance Now Media Ltd.,Printing And Publishing,6.75,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,6.65,6.65,2.85,6.65
Saamya Biotech India Ltd.,Biotechnology & Medical Research,2.07,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.97,2.07,1.05,3.69
Sabero Organics Gujarat Ltd.,Pesticides & Agro Chemicals,175.05,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,172.25,178.75,110.20,206.90
S.V. Trading & Agencies Ltd.,Miscellaneous,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,0.00
SAB Industries Ltd.,Construction - Residential & Commercial Complexes,0.00,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,67.00,185.00
Sabar Flex India Ltd.,Packaging - Packaging Materials,,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,20.95,20.95,12.00,30.60
S.S. Infrastructure Development Consultants  Ltd.,Infrastructure,,Company with Low Debt,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,2.70,2.80,2.55,33.40
S.M. Gold  Ltd.,Diamond  &  Jewellery,20.91,Book Value per share Improving for last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,20.80,21.97,13.45,23.88
SAAG RR Infra Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
S V Global Mill Ltd.,"Real Estate Rental, Development & Operations",97.01,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,97.01,104.99,40.35,106.29
SP Investrade India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
S S F Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
S V J Enterprises Ltd.,Paper & Paper Products,50.00,Growth in Net Profit with increasing Profit Margin (QoQ),Low Piotroski Score : Companies with weak financials,Highest Recovery from 52 Week Low ,No Threat for this stock,50.00,50.00,22.43,99.43
S J Logistics India Ltd.,Logistics,,New 52 week high today,No weakness for this stock,RSI indicating price strength ,No Threat for this stock,224.50,232.00,125.00,232.00
S H Kelkar & Company Ltd.,Diversified,174.75,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Highest Recovery from 52 Week Low ,No Threat for this stock,172.10,175.75,81.65,189.00
S T Services Ltd.,Miscellaneous,9.44,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,9.44,9.44,9.44,9.93
S P Finance & Trading Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
S Chand and Company Ltd.,Printing & Publishing,280.85,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Street Favorite: High Analyst Rating with at least 20% upside ,No Threat for this stock,275.75,283.00,155.00,335.00
S K International Export Ltd.,Textiles & Apparel,17.90,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,17.90,17.90,7.00,20.70
S Kumars Nationwide Ltd.,Textiles - Synthetic & Silk,2.35,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.35,2.46,2.35,7.00
S Kumars.com Ltd.,IT Services & Consulting,0.90,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.90,0.90,0.90,0.99
Sadbhav Infrastructure Projects Ltd.,Construction - Infrastructure,5.90,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,5.85,5.85,2.85,6.55
RPG Life Sciences Ltd.,Pharmaceuticals & Drugs,"1,550.75","Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,1517.05,1566.00,645.50,1580.00
S P Apparels Ltd.,Textiles & Apparel,588.20,Effectively using its capital to generate profit - RoCE improving in last 2 years,MACD Crossover Below Signal Line,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,579.90,602.95,271.00,674.85
RPP Infra Projects RE Ltd.,Other Construction Materials,27.80,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,25.60,28.10,10.00,33.40
Royale Manor Hotels and Industries Ltd.,"Hotel, Resort & Restaurants",34.90,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,34.02,36.70,20.45,42.04
Royal Orchid Hotels Ltd.,"Hotel, Resort & Restaurants",335.30,Strong Annual EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,333.80,348.95,223.55,385.00
S I Capital and Financial Services Ltd.,Finance - Investment,0.00,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,Decrease in Provision in recent results ,No Threat for this stock,0.00,0.00,4.67,5.65
Royce Marine Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
RPSG VENTURES Ltd.,IT Services & Consulting,806.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,781.05,820.10,360.10,847.00
RPP Infra Projects Ltd.,Construction - Infrastructure,146.40,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,147.25,147.25,38.15,147.25
RPG Transmission Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
RPG Cables Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Royal Cushion Vinyl Products Ltd.,Plastic Products - Others,34.96,Company with high TTM EPS Growth,Red Flag: High Interest Payments Compared to Earnings,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,34.28,34.96,8.18,42.73
RPP Infra Projects PP Ltd.,Construction - Infrastructure,36.40,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,35.05,36.60,10.00,40.65
Rotoflex Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Royal India Corporation Ltd.,Finance - Stock Broking,4.05,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,3.95,4.05,2.00,4.97
Royal Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
ROX Hi-Tech Ltd.,IT Services & Consulting,,Strong Annual EPS Growth,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,161.05,164.00,83.00,208.00
Roto Pumps Ltd.,Compressors / Pumps,413.90,Growth in Net Profit with increasing Profit Margin (QoQ),Low Piotroski Score : Companies with weak financials,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,412.05,417.50,251.00,448.85
Route Mobile Ltd.,IT Services & Consulting,"1,621.45",Company with high TTM EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,1605.50,1630.70,1136.20,1759.90
Roselabs Ltd.,Trading,7.70,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,7.70,7.70,3.48,13.21
Rossell India Ltd.,Tea/Coffee,448.00,Effectively using its capital to generate profit - RoCE improving in last 2 years,Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,445.55,455.05,221.00,549.00
ROSE MERC Ltd.,Trading,168.95,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,168.95,168.95,1.49,168.95
Rossell Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
